org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,0,0,0,8,0,0,0,1,-14850,0,-3444,6956,-969,0,1340965,112,77,273,7,0
ShanghaiAILab,0,0,6,3,0,0,0,0,-20400,0,-365835,-2123647,0,9621,0,0,23,50,-4,0
Baidu,1,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,3,8,0,0
Baichuan,0,0,0,0,0,0,0,0,-37208,0,0,229,0,0,0,0,1,-87,9,0
Zhipu,-4,0,2,-1,0,0,0,0,3149,182282,207769,-203940,0,0,0,0,17,-1,44,0
Ali,0,10,5,-5,1,0,-1,0,4943601,9148295,1346233,-1592288,-250604,0,568351,0,3185,7152,564,0
Huawei,-6,0,0,0,0,0,0,0,-4311,0,0,0,0,0,0,0,0,-1,-6,0
LMSYS,0,0,0,0,0,0,0,0,1174556,0,0,0,0,0,0,0,34,17,2,0
Falcon,-8,0,0,0,0,0,0,0,41501,0,0,-377,0,0,0,0,-1,24,0,0
EleutherAI,-8,0,0,0,0,-1,0,0,559392,0,0,0,0,24485,0,0,-2,23,-8,0
Meta,5,-496,-28,-9,0,0,-2,0,-16949476,-9434589,-87197,120435,43681,-8965941,5451694,0,1261,2207,204,0
Google,-22,0,-3,12,0,0,0,0,2729131,-769,6160145,-5441788,0,0,-692,0,1259,3134,138,0
Deepseek,1,0,0,0,0,0,0,0,-3516297,0,0,-263163,0,0,0,0,610,4781,145,0
OpenBMB,-6,0,0,-2,0,0,0,0,-10583,0,0,341360,0,0,-4036,0,-19,57,0,0
01-AI,0,0,0,0,0,0,0,0,62970,0,0,94,0,0,0,0,23,13,3,0
Ai2,-28,0,0,1,0,0,1,0,65543,0,0,1328721,0,0,5042,0,69,210,-24,0
OpenAI,0,0,0,1,0,0,0,0,0,0,861,-9672650,-2213,0,0,0,389,394,47,0
Nvidia,-1,6,14,5,2,0,0,1,-931884,48802,-903864,570,624,0,-259460,2607,59,-131,36,0
Microsoft,-9,-8,-1,-4,0,0,0,0,417173,6042710,-3212142,-3371011,0,0,0,0,438,1216,61,0
Apple,0,0,1,3,0,0,0,0,-513,0,126212,228419,0,0,0,0,4,136,10,0
HuggingFace,54,0,1,12,0,0,0,0,3151123,0,15025,288403,0,0,0,0,3181,7639,368,0
Princeton NLP,-38,0,0,0,0,0,0,0,-33147,0,0,0,0,0,0,0,8,9,-15,0
UKP Lab,0,0,0,0,0,0,-1,0,0,0,0,-46392,0,0,-19845840,0,120,280,4,0
